secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
101375,20190627,182,-75,0.184859,136.2922,14.42334,0.005571,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-70,0.188572,134.0146,12.78581,0.005529,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-65,0.192458,131.8444,11.34212,0.005614,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-60,0.196353,129.7174,10.03565,0.005519,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-55,0.200238,127.5953,8.836304,0.005627,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-50,0.204303,125.4538,7.734782,0.006135,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-45,0.208876,123.254,6.72376,0.007073,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-40,0.214202,120.9461,5.792042,0.008014,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-35,0.220239,118.474,4.921673,0.009485,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-30,0.227812,115.7429,4.115696,0.012855,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-25,0.238901,112.5602,3.385643,0.02001,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-20,0.256157,108.5728,2.724422,0.03077,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-15,0.278496,103.4459,2.068475,0.041481,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,-10,0.301266,96.90851,1.365374,0.050487,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,10,0.184819,148.3026,0.726896,0.00244,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,15,0.186543,143.832,1.198602,0.003253,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,20,0.188963,140.412,1.737552,0.003871,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,25,0.191831,137.5316,2.347342,0.004232,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,30,0.19492,134.9464,3.031911,0.004493,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,35,0.198196,132.5361,3.798813,0.004786,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,40,0.201672,130.224,4.657467,0.005075,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,45,0.205389,127.9522,5.620541,0.005459,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,50,0.209391,125.6756,6.705743,0.005956,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,55,0.213816,123.3509,7.938128,0.006756,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,60,0.21893,120.9274,9.35492,0.007827,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,65,0.224972,118.339,11.01044,0.009846,C,02581610,AXP,6199,0,1,,0,424
